unixtime,mouseX,mouseY,collision,mode,birdX,birdY
201710121141511820,0,0,0,mode0
201710121141511868,0,0,0,mode0
201710121141511892,0,0,0,mode0
201710121141511919,0,0,0,mode0
201710121141511943,0,0,0,mode0
201710121141511973,0,0,0,mode0
201710121141512014,0,0,0,mode0
201710121141512041,0,0,0,mode0
201710121141512065,0,0,0,mode0
201710121141512092,0,0,0,mode0
201710121141512124,0,0,0,mode0
201710121141512151,0,0,0,mode0
201710121141512176,0,0,0,mode0
201710121141512204,0,0,0,mode1
201710121141512248,0,0,0,mode1
201710121141512283,0,0,0,mode1
201710121141512311,0,0,0,mode1
201710121141512338,0,0,0,mode1
201710121141512366,0,0,0,mode1
201710121141512393,0,0,0,mode1
201710121141512425,0,0,0,mode1
201710121141512450,0,0,0,mode1
201710121141512475,0,0,0,mode1
201710121141512517,0,0,0,mode1
201710121141522554,0,0,0,mode1
201710121141522579,0,0,0,mode1
201710121141522643,0,0,0,mode1
201710121141522667,0,0,0,mode1
201710121141522694,0,0,0,mode1
201710121141522720,0,0,0,sin_mode,0,510
201710121141522781,0,0,0,sin_mode,0,510
201710121141522877,0,0,0,sin_mode,0,510
201710121141522910,0,0,0,sin_mode,0,510
201710121141522945,0,0,0,sin_mode,0,510
201710121141522981,0,0,0,sin_mode,0,510
201710121141523035,0,0,0,sin_mode,0,510
201710121141523062,0,0,0,sin_mode,0,510
201710121141523086,0,0,0,sin_mode,0,510
201710121141523111,0,0,0,sin_mode,0,510
201710121141523169,0,0,0,sin_mode,0,510
201710121141523198,0,0,0,sin_mode,0,510
201710121141523225,0,0,0,sin_mode,0,510
201710121141523249,0,0,0,sin_mode,0,510
201710121141523287,0,0,0,sin_mode,0,510
201710121141523313,0,0,0,sin_mode,0,510
201710121141523337,0,0,0,sin_mode,0,510
201710121141523363,0,0,0,sin_mode,0,510
201710121141523387,0,0,0,sin_mode,0,510
201710121141523416,0,0,0,sin_mode,0,510
201710121141523441,0,0,0,sin_mode,0,510
201710121141523465,0,0,0,sin_mode,0,510
201710121141523489,0,0,0,sin_mode,0,510
201710121141523517,0,0,0,sin_mode,0,510
201710121141533543,0,0,0,sin_mode,0,510
201710121141533567,0,0,0,sin_mode,0,510
201710121141533593,0,0,0,sin_mode,0,510
201710121141533618,0,0,0,sin_mode,0,510
201710121141533643,0,0,0,sin_mode,0,510
201710121141533669,0,0,0,sin_mode,0,510
201710121141533717,0,0,0,sin_mode,0,510
201710121141533744,0,0,0,sin_mode,0,510
201710121141533768,0,0,0,sin_mode,0,510
201710121141533794,0,0,0,sin_mode,0,510
201710121141533833,0,0,0,sin_mode,0,510
201710121141533879,0,0,0,sin_mode,0,510
201710121141533906,0,0,0,sin_mode,0,510
201710121141533932,0,0,0,sin_mode,0,510
201710121141533950,0,0,0,sin_mode,0,510
201710121141533970,0,0,0,sin_mode,0,510
201710121141533986,0,0,0,sin_mode,0,510
201710121141534008,0,0,0,sin_mode,0,510
201710121141534032,0,0,0,sin_mode,0,510
201710121141534056,0,0,0,sin_mode,0,510
201710121141534081,0,0,0,sin_mode,0,510
201710121141534105,0,0,0,sin_mode,0,510
201710121141534129,0,0,0,sin_mode,0,510
201710121141534152,0,0,0,sin_mode,0,510
201710121141534173,0,0,0,sin_mode,0,510
201710121141534191,0,0,0,sin_mode,0,510
201710121141534208,0,0,0,sin_mode,0,510
201710121141534233,0,0,0,sin_mode,0,510
201710121141534258,0,0,0,sin_mode,0,510
201710121141534282,0,0,0,sin_mode,0,510
201710121141534306,0,0,0,sin_mode,0,510
201710121141534332,0,0,0,sin_mode,0,510
201710121141534374,0,0,0,sin_mode,0,510
201710121141534398,0,0,0,sin_mode,0,510
201710121141534423,0,0,0,sin_mode,0,510
201710121141534448,0,0,0,sin_mode,0,510
201710121141534476,0,0,0,sin_mode,0,510
201710121141534496,0,0,0,sin_mode,0,510
201710121141534517,0,0,0,sin_mode,0,510
201710121141544540,0,0,0,sin_mode,0,510
201710121141544558,0,0,0,sin_mode,0,510
201710121141544575,0,0,0,sin_mode,0,510
201710121141544597,0,0,0,sin_mode,0,510
201710121141544619,0,0,0,sin_mode,0,510
201710121141544643,0,0,0,sin_mode,0,510
201710121141544667,0,0,0,sin_mode,0,510
201710121141544689,0,0,0,sin_mode,0,510
201710121141544712,0,0,0,sin_mode,0,510
201710121141544732,0,0,0,sin_mode,0,510
201710121141544752,0,0,0,sin_mode,0,510
201710121141544771,0,0,0,sin_mode,0,510
201710121141544791,0,0,0,sin_mode,0,510
201710121141544815,0,0,0,sin_mode,0,510
201710121141544844,0,0,0,sin_mode,0,510
201710121141544868,0,0,0,sin_mode,0,510
201710121141544892,0,0,0,sin_mode,0,510
201710121141544916,0,0,0,sin_mode,0,510
201710121141544949,0,0,0,sin_mode,0,510
201710121141544974,0,0,0,sin_mode,0,510
201710121141544998,0,0,0,sin_mode,0,510
201710121141545020,0,0,0,sin_mode,0,510
201710121141545044,0,0,0,sin_mode,0,510
201710121141545069,0,0,0,sin_mode,0,510
201710121141545086,0,0,0,sin_mode,0,510
201710121141545110,0,0,0,sin_mode,0,510
201710121141545129,0,0,0,sin_mode,0,510
201710121141545153,0,0,0,sin_mode,0,510
201710121141545172,0,0,0,sin_mode,0,510
201710121141545195,0,0,0,sin_mode,0,510
201710121141545219,0,0,0,sin_mode,0,510
201710121141545237,0,0,0,sin_mode,0,510
201710121141545261,0,0,0,sin_mode,0,510
201710121141545286,0,0,0,sin_mode,0,510
201710121141545311,0,0,0,sin_mode,0,510
201710121141545333,0,0,0,sin_mode,0,510
201710121141545350,0,0,0,sin_mode,0,510
201710121141545367,0,0,0,sin_mode,0,510
201710121141545391,0,0,0,sin_mode,0,510
201710121141545416,0,0,0,sin_mode,0,510
201710121141545443,0,0,0,sin_mode,0,510
201710121141545469,0,0,0,sin_mode,0,510
201710121141545493,0,0,0,sin_mode,0,510
201710121141545523,0,0,0,sin_mode,0,510
201710121141555544,0,0,0,sin_mode,0,510
201710121141555567,0,0,0,sin_mode,0,510
201710121141555591,0,0,0,sin_mode,0,510
201710121141555614,0,0,0,sin_mode,0,510
201710121141555642,0,0,0,sin_mode,0,510
201710121141555665,0,0,0,sin_mode,0,510
201710121141555689,0,0,0,sin_mode,0,510
201710121141555712,0,0,0,sin_mode,0,510
201710121141555736,0,0,0,sin_mode,0,510
201710121141555759,0,0,0,sin_mode,0,510
201710121141555783,0,0,0,sin_mode,0,510
201710121141555806,0,0,0,sin_mode,0,510
201710121141555831,0,0,0,sin_mode,0,510
201710121141555855,0,0,0,sin_mode,0,510
201710121141555872,0,0,0,sin_mode,0,510
201710121141555898,0,0,0,sin_mode,0,510
201710121141555922,0,0,0,sin_mode,0,510
201710121141555946,0,0,0,sin_mode,0,510
201710121141555971,0,0,0,sin_mode,0,510
201710121141555996,0,0,0,sin_mode,0,510
201710121141556026,0,0,0,sin_mode,0,510
201710121141556051,0,0,0,sin_mode,0,510
201710121141556075,0,0,0,sin_mode,0,510
201710121141556100,0,0,0,sin_mode,0,510
201710121141556126,0,0,0,sin_mode,0,510
201710121141556149,0,0,0,sin_mode,0,510
201710121141556173,0,0,0,sin_mode,0,510
201710121141556196,0,0,0,sin_mode,0,510
201710121141556217,0,0,0,sin_mode,0,510
201710121141556237,0,0,0,sin_mode,0,510
201710121141556256,0,0,0,sin_mode,0,510
201710121141556271,0,0,0,sin_mode,0,510
201710121141556291,0,0,0,sin_mode,0,510
201710121141556317,0,0,0,sin_mode,0,510
201710121141556342,0,0,0,sin_mode,0,510
201710121141556367,0,0,0,sin_mode,0,510
201710121141556393,0,0,0,sin_mode,0,510
201710121141556422,0,0,0,sin_mode,0,510
201710121141556444,0,0,0,sin_mode,0,510
201710121141556466,0,0,0,sin_mode,0,510
201710121141556484,0,0,0,sin_mode,0,510
201710121141556504,0,0,0,sin_mode,0,510
201710121141556529,0,0,0,sin_mode,0,510
201710121141566554,0,0,0,sin_mode,0,510
201710121141566579,0,0,0,sin_mode,0,510
201710121141566605,0,0,0,sin_mode,0,510
201710121141566630,0,0,0,sin_mode,0,510
201710121141566653,0,0,0,sin_mode,0,510
201710121141566674,0,0,0,sin_mode,0,510
201710121141566695,0,0,0,sin_mode,0,510
201710121141566721,0,0,0,sin_mode,0,510
201710121141566744,0,0,0,sin_mode,0,510
201710121141566768,0,0,0,sin_mode,0,510
201710121141566791,0,0,0,sin_mode,0,510
201710121141566808,0,0,0,sin_mode,0,510
201710121141566832,0,0,0,sin_mode,0,510
201710121141566854,0,0,0,sin_mode,0,510
201710121141566877,0,0,0,sin_mode,0,510
201710121141566900,0,0,0,sin_mode,0,510
201710121141566925,0,0,0,sin_mode,0,510
201710121141566947,0,0,0,sin_mode,0,510
201710121141566971,0,0,0,sin_mode,0,510
201710121141566989,0,0,0,sin_mode,0,510
201710121141567010,0,0,0,sin_mode,0,510
201710121141567034,0,0,0,sin_mode,0,510
201710121141567055,0,0,0,sin_mode,0,510
201710121141567080,0,0,0,sin_mode,0,510
201710121141567104,0,0,0,sin_mode,0,510
201710121141567131,0,0,0,sin_mode,0,510
201710121141567157,0,0,0,sin_mode,0,510
201710121141567179,0,0,0,sin_mode,0,510
201710121141567202,0,0,0,sin_mode,0,510
201710121141567228,0,0,0,sin_mode,0,510
201710121141567251,0,0,0,sin_mode,0,510
201710121141567276,0,0,0,sin_mode,0,510
201710121141567299,0,0,0,sin_mode,0,510
201710121141567327,0,0,0,sin_mode,0,510
201710121141567351,0,0,0,sin_mode,0,510
201710121141567373,-159,567,0,sin_mode,0,510
201710121141567393,-159,567,0,sin_mode,0,510
201710121141567412,-159,567,0,sin_mode,0,510
201710121141567434,-159,567,0,sin_mode,0,510
201710121141567459,-159,567,0,sin_mode,0,510
201710121141567482,-159,567,0,sin_mode,0,510
201710121141567506,-159,567,0,sin_mode,0,510
201710121141567539,-159,567,0,sin_mode,0,510
201710121141577565,-159,567,0,sin_mode,0,510
201710121141577589,-159,567,0,sin_mode,0,510
201710121141577614,-159,567,0,sin_mode,0,510
201710121141577646,-159,567,0,sin_mode,0,510
201710121141577671,-159,567,0,sin_mode,0,510
201710121141577696,-159,567,0,sin_mode,0,510
201710121141577720,-159,567,0,sin_mode,0,510
201710121141577753,-159,567,0,sin_mode,0,510
201710121141577777,-159,567,0,sin_mode,0,510
201710121141577800,-159,567,0,sin_mode,0,510
201710121141577846,-159,567,0,sin_mode,0,510
201710121141577881,-159,567,0,sin_mode,0,510
201710121141577904,-159,567,0,sin_mode,0,510
201710121141577930,-159,567,0,sin_mode,0,510
201710121141577955,-159,567,0,sin_mode,0,510
201710121141577980,-159,567,0,sin_mode,0,510
201710121141578021,-159,567,0,sin_mode,0,510
201710121141578043,-159,567,0,sin_mode,0,510
201710121141578063,-159,567,0,sin_mode,0,510
201710121141578084,-159,567,0,sin_mode,0,510
201710121141578108,-159,567,0,sin_mode,0,510
201710121141578133,-159,567,0,sin_mode,0,510
201710121141578150,-159,567,0,sin_mode,0,510
201710121141578172,-159,567,0,sin_mode,0,510
201710121141578192,-159,567,0,sin_mode,0,510
201710121141578212,-159,567,0,sin_mode,0,510
201710121141578234,-159,567,0,sin_mode,0,510
201710121141578250,-159,567,0,sin_mode,0,510
201710121141578272,-159,567,0,sin_mode,0,510
201710121141578296,-159,567,0,sin_mode,0,510
201710121141578320,-159,567,0,sin_mode,0,510
201710121141578343,-159,567,0,sin_mode,0,510
201710121141578366,-159,567,0,sin_mode,0,510
201710121141578393,4,566,0,sin_mode,0,510
201710121141578418,4,566,0,sin_mode,3,504
201710121141578443,4,566,0,sin_mode,6,497
201710121141578464,4,566,0,sin_mode,6,497
201710121141578487,102,592,0,sin_mode,6,497
201710121141578503,475,706,0,sin_mode,10,490
201710121141578527,475,706,0,sin_mode,10,490
201710121141588552,267,589,0,sin_mode,10,490
201710121141588574,267,589,0,sin_mode,10,490
201710121141588600,273,586,0,sin_mode,10,490
201710121141588622,273,566,0,sin_mode,10,490
201710121141588640,269,566,0,sin_mode,10,490
